pubchem_cid	protein	docking_score
454470	papainlike	-7.40
454470	ace2	-10.00
454470	spike_rbd	-8.80
454470	nucleocapsid	-10.00
454470	tmprss2	-7.80
57417226	protease	-8.30
57417226	polymerase	-8.60
57417226	papainlike	-8.60
57417226	ace2	-8.60
57417226	spike_rbd	-7.90
57417226	nucleocapsid	-9.60
57417226	tmprss2	-8.60
46220502	protease	-8.30
46220502	polymerase	-8.50
46220502	papainlike	-8.30
46220502	ace2	-9.40
46220502	spike_rbd	-8.40
46220502	nucleocapsid	-10.10
46220502	tmprss2	-7.70
6604102	protease	-7.90
6604102	polymerase	-8.80
6604102	papainlike	-8.30
6604102	ace2	-9.00
6604102	spike_rbd	-8.20
6604102	nucleocapsid	-10.40
6604102	tmprss2	-7.60
441243	protease	-8.30
441243	polymerase	-9.50
441243	papainlike	-8.80
441243	ace2	-10.10
441243	spike_rbd	-8.00
441243	nucleocapsid	-10.20
441243	tmprss2	-7.80
65999	protease	-8.80
65999	polymerase	-8.60
65999	papainlike	-9.10
65999	ace2	-10.20
65999	spike_rbd	-8.90
65999	nucleocapsid	-10.10
65999	tmprss2	-8.80
9853053	protease	-8.40
9853053	polymerase	-8.30
9853053	papainlike	-6.50
9853053	ace2	-11.00
9853053	spike_rbd	-7.80
9853053	nucleocapsid	-9.60
9853053	tmprss2	-8.80
24826799	protease	-8.60
24826799	polymerase	-10.10
24826799	papainlike	-8.80
24826799	ace2	-10.20
24826799	spike_rbd	-8.40
24826799	nucleocapsid	-10.40
24826799	tmprss2	-8.80
6604576	protease	-7.70
6604576	polymerase	-8.80
6604576	papainlike	-8.30
6604576	ace2	-9.20
6604576	spike_rbd	-8.20
6604576	nucleocapsid	-10.30
6604576	tmprss2	-7.90
60164	protease	-8.40
60164	polymerase	-9.20
60164	papainlike	-8.30
60164	ace2	-9.30
60164	spike_rbd	-7.90
60164	nucleocapsid	-10.80
60164	tmprss2	-9.20
54767916	protease	-8.80
54767916	polymerase	-9.50
54767916	papainlike	-8.60
54767916	ace2	-10.30
54767916	spike_rbd	-8.20
54767916	nucleocapsid	-9.90
54767916	tmprss2	-9.00
49806720	protease	-7.90
49806720	polymerase	-9.20
49806720	papainlike	-8.30
49806720	ace2	-9.10
49806720	spike_rbd	-8.40
49806720	nucleocapsid	-9.70
49806720	tmprss2	-8.70
54682461	protease	-7.00
54682461	polymerase	-8.80
54682461	papainlike	-7.90
54682461	ace2	-9.00
54682461	spike_rbd	-6.80
54682461	nucleocapsid	-10.50
54682461	tmprss2	-8.00
68165256	protease	-8.00
68165256	polymerase	-8.10
68165256	papainlike	-8.50
68165256	ace2	-9.40
68165256	spike_rbd	-8.50
68165256	nucleocapsid	-9.90
68165256	tmprss2	-8.10
89921642	protease	-8.20
89921642	polymerase	-9.40
89921642	papainlike	-7.90
89921642	ace2	-9.30
89921642	spike_rbd	-8.20
89921642	nucleocapsid	-10.40
89921642	tmprss2	-8.00
135423438	protease	-7.60
135423438	polymerase	-9.10
135423438	papainlike	-8.10
135423438	ace2	-9.30
135423438	spike_rbd	-8.60
135423438	nucleocapsid	-9.20
135423438	tmprss2	-8.20
25154714	protease	-8.50
25154714	polymerase	-8.60
25154714	papainlike	-8.70
25154714	ace2	-9.50
25154714	spike_rbd	-8.20
25154714	nucleocapsid	-10.40
25154714	tmprss2	-8.90
456201	protease	-7.20
456201	polymerase	-8.00
456201	papainlike	-8.00
456201	ace2	-8.30
456201	spike_rbd	-7.50
456201	nucleocapsid	-9.60
456201	tmprss2	-7.40
5717	protease	-8.60
5717	polymerase	-8.90
5717	papainlike	-9.50
5717	ace2	-9.90
5717	spike_rbd	-8.20
5717	nucleocapsid	-9.40
5717	tmprss2	-9.20
9823781	protease	-7.70
9823781	polymerase	-8.90
9823781	papainlike	-8.60
9823781	ace2	-9.30
9823781	spike_rbd	-8.70
9823781	nucleocapsid	-10.20
9823781	tmprss2	-8.10
638701	protease	-7.70
638701	polymerase	-7.50
638701	papainlike	-8.00
638701	ace2	-9.00
638701	spike_rbd	-7.90
638701	nucleocapsid	-9.70
638701	tmprss2	-8.20
135398743	protease	-7.70
135398743	polymerase	-8.40
135398743	papainlike	-6.70
135398743	ace2	-9.40
135398743	spike_rbd	-7.00
135398743	nucleocapsid	-8.70
135398743	tmprss2	-7.50
47576	protease	-7.70
47576	polymerase	-8.10
47576	papainlike	-7.70
47576	ace2	-9.00
47576	spike_rbd	-7.90
47576	nucleocapsid	-10.70
47576	tmprss2	-7.60
11167602	protease	-8.40
11167602	polymerase	-8.50
11167602	papainlike	-8.30
11167602	ace2	-9.50
11167602	spike_rbd	-8.20
11167602	nucleocapsid	-9.60
11167602	tmprss2	-8.20
11957587	protease	-8.80
11957587	polymerase	-10.10
11957587	papainlike	-8.90
11957587	ace2	-10.30
11957587	spike_rbd	-8.20
11957587	nucleocapsid	-11.30
11957587	tmprss2	-8.50
3476	protease	-8.30
3476	polymerase	-8.80
3476	papainlike	-8.40
3476	ace2	-9.40
3476	spike_rbd	-8.30
3476	nucleocapsid	-10.40
3476	tmprss2	-8.50
124604988	protease	-8.50
124604988	polymerase	-9.80
124604988	papainlike	-8.30
124604988	ace2	-9.60
124604988	spike_rbd	-8.60
124604988	nucleocapsid	-10.90
124604988	tmprss2	-9.30
24775005	protease	-8.00
24775005	polymerase	-8.30
24775005	papainlike	-8.60
24775005	ace2	-9.40
24775005	spike_rbd	-8.30
24775005	nucleocapsid	-10.10
